Key,File,Type,UsedInMainMenu,NoTranslate,english
solarCellSchematic,Items,Electricity,,,Solar Cell Schematic
resourceFirePelt,Items,Item,,,Fire Wolf Pelt
resourceFirePeltDesc,Items,Item,,,A pelt from a Fire Wolf. Maybe someone will buy this.
resourceElectricPelt,Items,Item,,,Electric Wolf Pelt
resourceElectricPeltDesc,Items,Item,,,A pelt from an Electric Wolf. Maybe someone will buy this.
qc_killZombieclaus,Items,Quest - Kill Zombieclaus,,,Kill Zombieclaus Challenge
challenge_KillZombieclaus,Quest,Challenge Info,,,Kill Zombieclaus
challenge_KillZombieclaus_offer,Quest,Challenge Info,,,"A new type of undead has been seen around the marked area. I like to call them Zombieclaus.\n\nGo thin their numbers for me. I'll make it worth your time."
challenge_KillZombieclaus_subtitle,Quest,Challenge Info,,,Kill some zombieclaus
challenge_KillZombieclaus_completion,Quest,Quest Info,,,"Holy Shit! You really managed to take them sum bitches out. Here's what I owe ya."
qc_killElementalWolves,Items,Quest - Kill Elemental Wolves,,,Kill Elemental Wolves Challenge
challenge_KillElementalWolves,Quest,Challenge Info,,,Kill Elemental Wolves
challenge_KillElementalWolves_offer,Quest,Challenge Info,,,"I've noticed a pack of mutated wolves around the marked area.\n\nI'll make it worth your time if you bring me one of each type of pelt."
challenge_KillElementalWolves_subtitle,Quest,Challenge Info,,,Kill some Elemental Wolves
quest_KillElementalWolves_completion,Quest,Quest Info,,,"You just keep on surprising me. Here's what I owe ya for those pelts."
